timestamp_sec,avg_ear,is_blinking_frame,blink_count_total,blink_rate_bps
17.626,0.3157,0,6,0.3404
17.642,0.3163,0,6,0.3401
17.658,0.3130,0,6,0.3398
17.673,0.3147,0,6,0.3395
17.689,0.3136,0,6,0.3392
17.704,0.3110,0,6,0.3389
17.721,0.3107,0,6,0.3386
17.736,0.3110,0,6,0.3383
17.751,0.3137,0,6,0.3380
17.766,0.3120,0,6,0.3377
17.781,0.3106,0,6,0.3374
17.797,0.3155,0,6,0.3371
17.812,0.3154,0,6,0.3369
17.827,0.3129,0,6,0.3366
17.843,0.3118,0,6,0.3363
17.859,0.3086,0,6,0.3360
17.875,0.3112,0,6,0.3357
17.890,0.3080,0,6,0.3354
17.906,0.3045,0,6,0.3351
17.920,0.3086,0,6,0.3348
17.936,0.3109,0,6,0.3345
17.951,0.3118,0,6,0.3342
17.967,0.3132,0,6,0.3339
17.983,0.3149,0,6,0.3337
17.998,0.3159,0,6,0.3334
18.013,0.3149,0,6,0.3331
18.030,0.3167,0,6,0.3328
18.045,0.3185,0,6,0.3325
18.060,0.3198,0,6,0.3322
18.075,0.3185,0,6,0.3320
18.091,0.3149,0,6,0.3317
18.105,0.3157,0,6,0.3314
18.121,0.3177,0,6,0.3311
18.136,0.3179,0,6,0.3308
18.152,0.3171,0,6,0.3305
18.168,0.3145,0,6,0.3302
18.183,0.3119,0,6,0.3300
18.198,0.3119,0,6,0.3297
18.215,0.3138,0,6,0.3294
18.229,0.3139,0,6,0.3291
18.245,0.3151,0,6,0.3289
18.259,0.3144,0,6,0.3286
18.275,0.3173,0,6,0.3283
18.290,0.3171,0,6,0.3281
18.306,0.3189,0,6,0.3278
18.321,0.3185,0,6,0.3275
18.337,0.3228,0,6,0.3272
18.351,0.3244,0,6,0.3270
18.367,0.3225,0,6,0.3267
18.382,0.3283,0,6,0.3264
18.398,0.3231,0,6,0.3261
18.413,0.3176,0,6,0.3259
18.428,0.3217,0,6,0.3256
18.444,0.3230,0,6,0.3253
18.460,0.3223,0,6,0.3250
18.474,0.3238,0,6,0.3248
18.490,0.3250,0,6,0.3245
18.505,0.3233,0,6,0.3242
18.519,0.3251,0,6,0.3240
18.536,0.3271,0,6,0.3237
18.552,0.3321,0,6,0.3234
18.566,0.3238,0,6,0.3232
18.583,0.3243,0,6,0.3229
18.598,0.3220,0,6,0.3226
18.614,0.3222,0,6,0.3223
18.628,0.3229,0,6,0.3221
18.645,0.3256,0,6,0.3218
18.660,0.3238,0,6,0.3215
18.676,0.3233,0,6,0.3213
18.692,0.3205,0,6,0.3210
18.707,0.3174,0,6,0.3207
18.721,0.3162,0,6,0.3205
18.736,0.3160,0,6,0.3202
18.752,0.3192,0,6,0.3200
18.768,0.3204,0,6,0.3197
18.783,0.3202,0,6,0.3194
18.799,0.3184,0,6,0.3192
18.814,0.3184,0,6,0.3189
18.830,0.3165,0,6,0.3186
18.844,0.3181,0,6,0.3184
18.860,0.3170,0,6,0.3181
18.876,0.3177,0,6,0.3179
18.892,0.2939,0,6,0.3176
18.908,0.1637,1,6,0.3173
18.923,0.1935,1,6,0.3171
18.939,0.2345,0,6,0.3168
18.954,0.2526,0,6,0.3166
18.969,0.2776,0,6,0.3163
18.984,0.2871,0,6,0.3161
18.999,0.3008,0,6,0.3158
19.015,0.3020,0,6,0.3155
19.030,0.3024,0,6,0.3153
19.046,0.3029,0,6,0.3150
19.061,0.2992,0,6,0.3148
19.076,0.3028,0,6,0.3145
19.091,0.3035,0,6,0.3143
19.107,0.3073,0,6,0.3140
19.121,0.3072,0,6,0.3138
19.137,0.3073,0,6,0.3135
19.151,0.3058,0,6,0.3133
19.168,0.3095,0,6,0.3130
19.183,0.3135,0,6,0.3128
19.198,0.3175,0,6,0.3125
19.213,0.3113,0,6,0.3123
19.230,0.3048,0,6,0.3120
19.245,0.3048,0,6,0.3118
19.261,0.3087,0,6,0.3115
19.278,0.3099,0,6,0.3112
19.292,0.3025,0,6,0.3110
19.308,0.3055,0,6,0.3107
19.324,0.3116,0,6,0.3105
19.339,0.3072,0,6,0.3103
19.354,0.3056,0,6,0.3100
19.368,0.3092,0,6,0.3098
19.383,0.3082,0,6,0.3096
19.398,0.3073,0,6,0.3093
19.414,0.3062,0,6,0.3091
19.429,0.3029,0,6,0.3088
19.444,0.3064,0,6,0.3086
19.459,0.3032,0,6,0.3083
19.476,0.3020,0,6,0.3081
19.490,0.3036,0,6,0.3078
19.507,0.2992,0,6,0.3076
19.521,0.3002,0,6,0.3074
19.536,0.2998,0,6,0.3071
19.552,0.2982,0,6,0.3069
19.568,0.3000,0,6,0.3066
19.584,0.3024,0,6,0.3064
19.600,0.2996,0,6,0.3061
19.615,0.3018,0,6,0.3059
19.630,0.3035,0,6,0.3057
19.645,0.3002,0,6,0.3054
19.660,0.3047,0,6,0.3052
19.676,0.3054,0,6,0.3049
19.692,0.3073,0,6,0.3047
19.708,0.3036,0,6,0.3045
19.724,0.3031,0,6,0.3042
19.739,0.3038,0,6,0.3040
19.754,0.3014,0,6,0.3037
19.768,0.3038,0,6,0.3035
19.784,0.3054,0,6,0.3033
19.799,0.3068,0,6,0.3030
19.815,0.3091,0,6,0.3028
19.831,0.3096,0,6,0.3026
19.847,0.3090,0,6,0.3023
19.862,0.3085,0,6,0.3021
19.878,0.3115,0,6,0.3018
19.893,0.3131,0,6,0.3016
19.909,0.3124,0,6,0.3014
19.923,0.3155,0,6,0.3012
19.938,0.3137,0,6,0.3009
19.954,0.3163,0,6,0.3007
19.970,0.3128,0,6,0.3005
19.985,0.3134,0,6,0.3002
20.000,0.3177,0,6,0.3000
20.015,0.3145,0,6,0.2998
20.032,0.3150,0,6,0.2995
20.047,0.3142,0,6,0.2993
20.062,0.3141,0,6,0.2991
20.077,0.3236,0,6,0.2988
20.094,0.3206,0,6,0.2986
20.109,0.3164,0,6,0.2984
20.124,0.3171,0,6,0.2982
20.140,0.3189,0,6,0.2979
20.154,0.3176,0,6,0.2977
20.170,0.3197,0,6,0.2975
20.186,0.3146,0,6,0.2972
20.200,0.3109,0,6,0.2970
20.216,0.3126,0,6,0.2968
20.230,0.3122,0,6,0.2966
20.245,0.3141,0,6,0.2964
20.261,0.3141,0,6,0.2961
20.277,0.3158,0,6,0.2959
20.292,0.3157,0,6,0.2957
20.308,0.3142,0,6,0.2955
20.322,0.3149,0,6,0.2952
20.338,0.3162,0,6,0.2950
20.353,0.3161,0,6,0.2948
20.368,0.3148,0,6,0.2946
20.383,0.3175,0,6,0.2944
20.399,0.3162,0,6,0.2941
20.415,0.3163,0,6,0.2939
20.432,0.3134,0,6,0.2937
20.447,0.3181,0,6,0.2934
20.463,0.3138,0,6,0.2932
20.478,0.3154,0,6,0.2930
20.494,0.3158,0,6,0.2928
20.509,0.3128,0,6,0.2926
20.525,0.3153,0,6,0.2923
20.540,0.3153,0,6,0.2921
20.556,0.3132,0,6,0.2919
20.570,0.3129,0,6,0.2917
20.587,0.3163,0,6,0.2914
20.602,0.3172,0,6,0.2912
20.617,0.3135,0,6,0.2910
20.632,0.3157,0,6,0.2908
20.648,0.3199,0,6,0.2906
20.663,0.3179,0,6,0.2904
20.679,0.3189,0,6,0.2902
20.694,0.3183,0,6,0.2899
20.710,0.3186,0,6,0.2897
20.725,0.3152,0,6,0.2895
20.741,0.3154,0,6,0.2893
20.756,0.3134,0,6,0.2891
20.771,0.3094,0,6,0.2889
20.786,0.3120,0,6,0.2887
20.801,0.3161,0,6,0.2885
20.816,0.3177,0,6,0.2882
20.831,0.3158,0,6,0.2880
20.846,0.3174,0,6,0.2878
20.862,0.3158,0,6,0.2876
20.877,0.3168,0,6,0.2874
20.892,0.3165,0,6,0.2872
20.906,0.3184,0,6,0.2870
20.921,0.3184,0,6,0.2868
20.936,0.3201,0,6,0.2866
20.951,0.3187,0,6,0.2864
20.967,0.3191,0,6,0.2862
20.983,0.3195,0,6,0.2860
20.997,0.3175,0,6,0.2857
21.013,0.3174,0,6,0.2855
21.028,0.3176,0,6,0.2853
21.044,0.3168,0,6,0.2851
21.059,0.3195,0,6,0.2849
21.076,0.3189,0,6,0.2847
21.091,0.3216,0,6,0.2845
21.107,0.3191,0,6,0.2843
21.122,0.3180,0,6,0.2841
21.139,0.3205,0,6,0.2838
21.153,0.3181,0,6,0.2836
21.168,0.3176,0,6,0.2834
21.183,0.3201,0,6,0.2832
21.199,0.3171,0,6,0.2830
21.215,0.3151,0,6,0.2828
21.231,0.3143,0,6,0.2826
21.247,0.3168,0,6,0.2824
21.262,0.3233,0,6,0.2822
21.276,0.3212,0,6,0.2820
21.292,0.3146,0,6,0.2818
21.306,0.3157,0,6,0.2816
21.321,0.3135,0,6,0.2814
21.337,0.3175,0,6,0.2812
21.354,0.3135,0,6,0.2810
21.368,0.3128,0,6,0.2808
21.384,0.3103,0,6,0.2806
21.400,0.3067,0,6,0.2804
21.416,0.3118,0,6,0.2802
21.432,0.3150,0,6,0.2800
